2025/8/6 11:8:10 Code (196614): No response from controller after 3 retries.
2025/8/6 11:8:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:25 Code (196614): No response from controller after 3 retries.
2025/8/6 11:8:39 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:39 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:40 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:41 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:42 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:43 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:44 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:44 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:44 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:8:44 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
